iter	Passed	Remaining
1380	6832	588
1381	6837	583
1382	6842	578
1383	6847	573
1384	6852	568
1385	6857	564
1386	6863	559
1387	6868	554
1388	6873	549
1389	6878	544
1390	6882	539
1391	6887	534
1392	6892	529
1393	6897	524
1394	6902	519
1395	6907	514
1396	6911	509
1397	6916	504
1398	6921	499
1399	6926	494
1400	6930	489
1401	6936	484
1402	6941	479
1403	6945	474
1404	6950	469
1405	6955	465
1406	6960	460
1407	6965	455
1408	6970	450
1409	6975	445
1410	6979	440
1411	6985	435
1412	6989	430
1413	6994	425
1414	6999	420
1415	7004	415
1416	7008	410
1417	7013	405
1418	7019	400
1419	7023	395
1420	7029	390
1421	7033	385
1422	7038	380
1423	7043	375
1424	7048	370
1425	7054	366
1426	7059	361
1427	7065	356
1428	7069	351
1429	7074	346
1430	7079	341
1431	7085	336
1432	7089	331
1433	7095	326
1434	7100	321
1435	7105	316
1436	7110	311
1437	7115	306
1438	7132	302
1439	7136	297
1440	7140	292
1441	7145	287
1442	7150	282
1443	7154	277
1444	7159	272
1445	7164	267
1446	7168	262
1447	7173	257
1448	7179	252
1449	7184	247
1450	7188	242
1451	7194	237
1452	7198	232
1453	7203	227
1454	7208	222
1455	7213	217
1456	7218	213
1457	7223	208
1458	7228	203
1459	7233	198
1460	7237	193
1461	7242	188
1462	7248	183
1463	7252	178
1464	7257	173
1465	7262	168
1466	7267	163
1467	7273	158
1468	7278	153
1469	7283	148
1470	7288	143
1471	7293	138
1472	7298	133
1473	7303	128
1474	7308	123
1475	7313	118
1476	7318	113
1477	7323	109
1478	7327	104
1479	7332	99
1480	7338	94
1481	7343	89
1482	7348	84
1483	7353	79
1484	7358	74
1485	7363	69
1486	7367	64
1487	7373	59
1488	7378	54
1489	7382	49
1490	7388	44
1491	7392	39
1492	7397	34
1493	7402	29
1494	7406	24
1495	7411	19
1496	7416	14
1497	7420	9
1498	7425	4
1499	7430	0
